Jacobi Method #,1,0,1701
Jacobi Paralelo #,1,0,145
Jacobi Method #,1,1,1467
Jacobi Paralelo #,1,1,207
Jacobi Method #,1,2,1469
Jacobi Paralelo #,1,2,260
Jacobi Method #,1,3,2006
Jacobi Paralelo #,1,3,164
Jacobi Method #,1,4,1677
Jacobi Paralelo #,1,4,243
Jacobi Method #,1,5,1722
Jacobi Paralelo #,1,5,254
Jacobi Method #,1,6,1615
Jacobi Paralelo #,1,6,299
Jacobi Method #,1,7,1576
Jacobi Paralelo #,1,7,269
Jacobi Method #,1,8,1905
Jacobi Paralelo #,1,8,236
Jacobi Method #,1,9,1538
Jacobi Paralelo #,1,9,132
Jacobi Method #,2,0,1403
Jacobi Paralelo #,2,0,230
Jacobi Method #,2,1,1866
Jacobi Paralelo #,2,1,252
Jacobi Method #,2,2,1535
Jacobi Paralelo #,2,2,243
Jacobi Method #,2,3,1416
Jacobi Paralelo #,2,3,240
Jacobi Method #,2,4,1430
Jacobi Paralelo #,2,4,256
Jacobi Method #,2,5,1418
Jacobi Paralelo #,2,5,295
Jacobi Method #,2,6,1582
Jacobi Paralelo #,2,6,258
Jacobi Method #,2,7,1491
Jacobi Paralelo #,2,7,256
Jacobi Method #,2,8,1054
Jacobi Paralelo #,2,8,219
Jacobi Method #,2,9,1312
Jacobi Paralelo #,2,9,267
Jacobi Method #,3,0,1732
Jacobi Paralelo #,3,0,216
Jacobi Method #,3,1,1408
Jacobi Paralelo #,3,1,141
Jacobi Method #,3,2,1537
Jacobi Paralelo #,3,2,223
Jacobi Method #,3,3,2604
Jacobi Paralelo #,3,3,255
Jacobi Method #,3,4,1484
Jacobi Paralelo #,3,4,255
Jacobi Method #,3,5,1543
Jacobi Paralelo #,3,5,271
Jacobi Method #,3,6,1457
Jacobi Paralelo #,3,6,248
Jacobi Method #,3,7,1396
Jacobi Paralelo #,3,7,226
Jacobi Method #,3,8,1781
Jacobi Paralelo #,3,8,130
Jacobi Method #,3,9,1318
Jacobi Paralelo #,3,9,231
Jacobi Method #,4,0,1511
Jacobi Paralelo #,4,0,161
Jacobi Method #,4,1,1420
Jacobi Paralelo #,4,1,183
Jacobi Method #,4,2,1884
Jacobi Paralelo #,4,2,293
Jacobi Method #,4,3,1761
Jacobi Paralelo #,4,3,233
