Jacobi HPC #,0,1.5843565464019775
Jacobi HPC #,1,1.5942113399505615
Jacobi HPC #,2,1.5380580425262451
Jacobi HPC #,3,1.5780465602874756
Jacobi HPC #,4,1.5083739757537842
Jacobi HPC #,5,1.6253385543823242
Jacobi HPC #,6,1.5343444347381592
Jacobi HPC #,7,1.5548970699310303
Jacobi HPC #,8,1.575864315032959
Jacobi HPC #,9,1.5883004665374756
Gauss-Seidel #,0,0.7172815799713135
Gauss-Seidel #,1,0.6959865093231201
Gauss-Seidel #,2,0.699514627456665
Gauss-Seidel #,3,0.7055442333221436
Gauss-Seidel #,4,0.7289760112762451
Gauss-Seidel #,5,0.6957345008850098
Gauss-Seidel #,6,0.6822144985198975
Gauss-Seidel #,7,0.6850855350494385
Gauss-Seidel #,8,0.6980290412902832
Gauss-Seidel #,9,0.6886856555938721
Jacobi Paralelo #,0,252.00049114227295
Jacobi Paralelo #,1,255.0539996623993
Jacobi Paralelo #,2,254.38092803955078
Jacobi Paralelo #,3,254.43067073822021
Jacobi #,0,1259.9473633766174
Jacobi Paralelo #,4,256.29364109039307
Jacobi #,1,254.23928380012512
Jacobi Paralelo #,5,255.3143229484558
Jacobi #,2,252.359867811203
Jacobi Paralelo #,6,255.90665817260742
Jacobi #,3,254.20221996307373
Jacobi Paralelo #,7,255.42841267585754
Jacobi #,4,253.9172236919403
Jacobi #,5,247.41057634353638
Jacobi Paralelo #,8,251.53163385391235
Jacobi #,6,247.1629228591919
Jacobi Paralelo #,9,251.66675281524658
Jacobi #,7,241.98232126235962
Jacobi #,8,240.5797996520996
Jacobi #,9,240.58809900283813
